name
Faustina Pignatelli
Antonina Prikhot'ko
Gulli Petrini
Elda Emma Anderson
Eva Ramstedt
Petronella Johanna de Timmerman
Charlotte Riefenstahl
Edith Quimby
Bertha Swirles
Cristina Roccati
Klara Döpel
Katharine Way
Florentina Mosora
Florentina Mosora
Margaret MacVicar
Gladys Anslow
Jadwiga Falkowska
Joan Curran
Ljubov Rebane
Ruby Payne-Scott
Miriam O'Brien Underhill
Yvette Cauchois
Lu Shijia
Charlotta Frölich
Hendrika Johanna van Leeuwen
B. Vijayalakshmi
Lucy Mensing
Selma Freud
Selma Freud
Isabelle Stone
Florence van Straten
Jenny Rosenthal Bramley
Marion Ross
Fanny Gates
Elizabeth Laird
Zinaida Ershova
Lorella Jones
Tikvah Alper
Sonia Cotelle
Tatiana Korcová
Yekaterina Nikitichna Blinova
Cheng-Shu Wang Chang
Lucy Wilson
Ilse Rosenthal-Schneider
Ștefania Mărăcineanu
Catherine Chamié
Tettje Clay-Jolles
Marcia Keith
Dorothy Walcott Weeks
Willie Hobbs Moore
Éliane Montel
Pearl Young
Hildegard Stücklen
Lili Bleeker
Eugenie Lisitzin
Eunice Newton Foote
Jane Hamilton Hall
Katherine Clerk Maxwell
Clara von Simson
Eva von Bahr
Mary Taylor Slow
Frances Lowater
Herta Regina Leng
Elizabeth Riddle Graves
Emma Leclercq
Margaret Mary Smith
Sofia Okunevska
Branca Edmée Marques
Edith Anne Stoney
Frances Wick
Gerta von Ubisch
Sonja Ashauer
Florence Martin
Joan Freeman
Elizabeth Rona
Bice Sechi-Zorn
Vera Higgins
Madeleine Barnothy Forro
Salwa Nassar
Gladys Mackenzie
Janette Dunlop
Jane Dewey
Rosina Zornlin
Johanna Piesch
Nadiashda Galli-Shohat
Anna Maria Ciccone
Betty Louise Turtle
Rose Mooney-Slater
Elizabeth Gardner
Anna Consortini
Frances Pleasonton
Evelyn Roberts
Ekaterina Feoktistova
Bibha Chowdhuri
Anna McPherson
Nina Vedeneyeva
Jacqueline Zadoc-Kahn Eisenmann
Helen Schaeffer Huff
Carolyn Parker
Louise Sherwood McDowell
Marguerite Rouvière
Barbara Cooper
Elisabeth Bormann
Olga Ehrenhaft-Steindler
Laura B. Eisenstein
Hildegard Korf Kallmann-Bijl
Marguerite Moilliet Rogers
Alice Armstrong
Vivian Johnson
Lucy Julia Hayner
Edna Carter
Alice Golsen
Ruth Teitelbaum
Adele Goldstine
Nina Bari
Grete Hermann
Hanna Neumann
Irene Sänger-Bredt
Mileva Marić
Olga Hahn-Neurath
Caroline Herschel
Maria Angela Ardinghelli
Irmgard Flügge-Lotz
Ruth Moufang
Olga Taussky-Todd
Erika Pannwitz
Hel Braun
Edith Alice Müller
Hilda Geiringer
Sor Juana Inés de la Cruz
Anna Johnson Pell Wheeler
Sofia Kovalevskaya
Maria Gaetana Agnesi
Nicole-Reine Lepaute
Maria Reiche
Theano
Agnes Meyer Driscoll
Anne Isabella Byron
Elizebeth Smith Friedman
Mary Somerville
Elisabeth Vreede
Emmy Noether
Sophie Germain
Ada Lovelace
Émilie du Châtelet
Grace Hopper
Hypatia
Mary Kenneth Keller
Hertha Ayrton
Klara Dan von Neumann
Christine Ladd-Franklin
Philippa Fawcett
Phyllis Nicolson
Alicia Boole Stott
Gertrude Mary Cox
Wilhelmina Iwanowska
Grace Chisholm Young
Charlotte Scott
Mary Cartwright
Damo
Julia Hall Bowman Robinson
Helena Rasiowa
Rózsa Péter
Myia
Elena Cornaro Piscopia
Jessie MacWilliams
Pelageya Polubarinova-Kochina
Elizabeth Scott
Tatyana Afanasyeva
Mina Rees
Annie Scott Dill Maunder
Laura Bassi
Sheila Scott Macintyre
Carol Karp
Dorothy Maud Wrinch
Edna Kramer
Anna Barbara Reinhart
Annie Leuch-Reineck
Anneli Cahn Lax
Ann Horton
Zaira Ollano
Galina Tyurina
Sofya Yanovskaya
Beryl May Dent
Mary A. Swift
Mabel Augusta Chase
Rita G. Lerner
Vera Faddeeva
Mary Wilma Hodge
Jeanne Ferrier
Estrella Mazzoli de Mathov
Caroline Willard Baldwin
Helen Gertrude Klaassen
Emma Unson Rotor
Elisabeth Bauser
Maria Luisa Righini-Bonelli
Margaret Clement
Elizabeth Frances Cope
Elizabeth Frances Cope
Hildegard Rothe-Ille
Rose Peltesohn
Yvette Amice
Wanda Szmielew
