name
Miqdad ibn Aswad
Camillo Golgi
Leó Szilárd
Roman Jakobson
Kadir Rakhimovich Timergazin
Nikolai Utin
Boris Ugrimov
Moritz Abraham Stern
Johannes Knoblauch
Hans Winkler
Reinhard Süring
Carl Remigius Fresenius
Peter von Rittinger
John Rittmeister
Friedrich J. Haberlandt
Wifredo Ricart
Mór Réthy
Ebenezer Kinnersley
Edward Rulloff
Warner T. Koiter
Andrija Štampar
George Sweigert
Martin Heinrich Klaproth
Jaroslav Heyrovský
Malik Gabdullin
Huseyn Hasanov
Boris Evgenyevich Votchal
Sergei Korolev
Theodore von Kármán
Henri Mouton
John Renshaw Carson
Louis Bertrand Castel
Abdelkader El Djezairi
Norbert Wiener
Rizaetdin Fäxretdin
Rizaetdin Fäxretdin
Husain Faizkhanov
Husain Faizkhanov
Leon Battista Alberti
Nikolay Lukin
József Kürschák
Niels Ryberg Finsen
Sergey Spasokukotsky
Evgeni Pavlovich Spangenberg
Nikolay Streletskiy
Joseph Jean Baptiste Neuberg
Sebastian Ziani de Ferranti
Hidetsugu Yagi
Ernest de Jonquières
Aleksei Gastev
Ernest Julius Wilczynski
James Whitbread Lee Glaisher
Alter Tsypkin
Gian Francesco Malfatti
Ole Jacob Broch
Heinz Pagels
Thomas O. Paine
William Stimpson
Nikolai Nikitin
Reginald Aldworth Daly
Oscar Leberecht von Lemm
Boleslav Vladimirovich Likhterman
Mikhail Yakovlevich Lapirov-Skoblo
Andrey Lobanov-Rostovsky
Vladimir Semenikhin
Frank Debenham
Albert Howard
Francisco Montes de Oca y Saucedo
Joshua Steinberg
Joshua Steinberg
Henry Faulds
Ali ibn Sahl Rabban al-Tabari
Fritz Loewe
Eduardo Estrella Aguirre
Timofey Gorbachev
Aleksandr Skochinsky
Hans Klumbach
Swami Kuvalayananda
Bayard Taylor Horton
George Jr. Adams
Granville Wheler
Henri Hyvernat
Henri Hyvernat
Hermann Wiener
Harold Stephen Black
Henricus Aeneae
Paul M. Naghdi
Walter Brecht
Vladimir Chikolev
Aleksandr A. Chernov
Jivaka Kumar Bhaccha
Joshua Harold Burn
Ignác Jan Hanuš
Johann Georg Dominicus von Linprun
John Mercer Brooke
Max Einhorn
Mikhail Vasilyevich Shuleikin
Leonid Shulpin
Yevgeny Shilovsky
Pavel Efimovich El'yasberg
Achille Müntz
Alexander Nekrich
Vasily Nezabitovsky
A. I. Neusykhin
Robley Cook Williams
Venedikt Dzhelepov
Al-Tughrai
James Croll
Christoph Wilhelm von Koch
Valentin Zhukovsky
Alexey A. Zavarzin
Philipp Adamovich Zaitzev
Philipp Adamovich Zaitzev
Grigori Perederi
Al-Khaṣībī
Albert S. Osborn
Alfred Norton Goldsmith
Alireza Afzalipour
Arthur Emmons Raymond
Alfred Kohn
Arthur Chester Dahlberg
Arnold Mitchell
Arsen Minasian
Albert Levy
Alexander McAulay
Alvin Boyd Kuhn
Al-Kaŝkarī
Andrew Lees
Arthur Frederick Ostrander
Alfred Lee Loomis
A. Q. M. Bazlul Karim
Alfred Matthew Hubbard
Kamal Stino
Anatoly Filippovich Smirnov
Jack Filmer
John R. Philip
Julio Ximenes Senior
José L. Duomarco
Wenceslao Benítez Inglott
John Babbitt
John William Nicholson
José Carlos Millás
Julius Grant
John Covel
John Milne Bramwell
Jos W. M. van der Meer
"Jan Jesenský, Jr."
Joseph Huddart
John A. Gilruth
John Harris
John Hawkins
John North
John North
John Ranstead
Joseph W. Cullen
John B. Whitehead
John Hewitt Jellett
John Howard Kyan
John Tatum
Karl B. McEachron
John Marden
Joshua Sieger
Kailasa Venkata Ramiah
Jaume Raventós i Pijoan
Jerzy Kaźmirkiewicz
John Stanton Gould
José Daporta Gozález
Karel Šmirous
Aleksandr Aleksandrovich Kharkevich
Lagâri Hasan Çelebi
Léo Errera
Martin Krause
Richard Lower
Joseph Tykociński-Tykociner
Juan González Arintero
Mekhitar of Sebaste
Rasmus Malling-Hansen
Nicolae Milescu
Nicolae Milescu
Alfonso Giacomo Gaspare Corti
Morris E. Leeds
Hovhannes Imastaser
Khayr al-Din al-Ramli
Ibn al-Mundhir
L. Hamilton McCormick
Lane Mitchell
Konstantin Frank
Kurt Freund
Hindūshāh ibn Sanjar Nakhjavānī
Julian Zachariewicz
Stefan Drzewiecki
Konstantin Konstantinov
Nikolay Kruchina
Robert E. Machol
Pierre Bretonneau
Charles Sumner Tainter
Fiodar Fiodaraw
Elihan Tore
Pyotr Ivanov
Emil Oskar Nobel
Germogen Sergeevich Pospelov
Nikolay Pilyugin
Leopoldo Marco Antonio Caldani
Alfredo Capelli
Sidney Farber
Robert Noble
Vladimir Mikhailovich Myasishchev
Aman Kekilov
Vladimir Barmin
Vladimir Barmin
Gregory Magistros
Marian Suski
Ron Wyatt
Keith Lucas
Daniel Alcides Carrión
Paul Bouts
Pierre Charles Alexandre Louis
Piatro Hliebka
William Lyon Phelps
Geoffrey Vickers
Geoffrey Vickers
Hienadz Karpienka
Vladimir Kovalevsky
Ivan Kovalyov
Benjamin Feingold
Bernard L. Oser
Karl Seebach
August F. Foerste
Bernhard Joos
Bill Cameron
Benjamin Shapira
Benjamin A. Botkin
Arthur Koehler
Arthur Larson
Bartholomeus Amicus
Bartholomew Price
Bertram Hopkinson
Bertram Steele
Arthur Worthington
Kiyekbayev Zhalil G.
Vladimir Kemenov
Semyon Kataev
Leon Harmon
Mason Vaugh
Michael Werikhe
Magnus Pyke
Mansfield Merriman
Mieczysław G. Bekker
Louis L. Madsen
"Lovell Lawrence, Jr."
Matthew Hay
Lyman Hall
Abū l-Hasan al-Qābisī
Martin Szentiványi
Matthew Algernon Adams
Leo Kuper
Lloyd Hulbert
Maurice Johnson
Leonard Pilkington
Maurice Nelles
Moses Dunbar
Leon Barszczewski
Bryan Harold Cabot Matthews
Bryan Harold Cabot Matthews
Báetán moccu Chormaic
Charles Henry Lee
D. Winton Thomas
Charles F. Wagner
Charles Fox
Charles Webb Le Bas
William Frederick Durand
Cyril Hopkirk
E. C. Jeffrey
Edmund Hess
Busick Harwood
Charles Albert Keeley
Chauncey Jerome
Dioscoro L. Umali
Dean Roden Chapman
Cesáreo Fernández Duro
Denis Henry Desty
Charles Abercrombie Smith
Charles Speziale
Clarence Madison Dally
Clifford Dobell
Carleton Ellis
E. C. S. Shuttleworth
Carlos Albizu Miranda
Charles Kellaway
Charles Tomlinson
Cyrus Bryant
Daniel Hanbury
David E. Sweet
David Forbes Martyn
Din Fu Bao
Otto Retowski
John Ernst Worrell Keely
Hishamal-A'ashish
Al-Fadl ibn Abbas
Gerard Leckie
Nikolai Sudzilovsky
Semyon Davidovich Kirlian
"Diego Fernández de Córdoba, Marquis of Guadalcázar"
Robert W. Paul
Otto B. Blackwell
Nils Bang
"Norman Crowther Hunt, Baron Crowther-Hunt"
Otis Boykin
Nathan Paget
Omond Solandt
Ossian Schauman
P. K. Venugopalan Nambiar
Pandurang Sadashiv Khankhoje
Pandurang Sadashiv Khankhoje
Muhammad Ali Astarabadi
Norman de Bruyne
Oskar Schmiedel
Moses Dunbar
Nicolò Arrighetti
Otto Boeddicker
Ovanes Ohanian
Albert Fuller Ellis
Camille Matignon
Clément Georges Lemoine
Ahmad al-Tifashi
Eric Eastwood
Abbad ibn Bishr
'Abd Allah ibn 'Amr ibn al-'As
Armand de Gramont
Gordon Hamilton Fairley
Lyudmil Stoyanov
Rafael Lucio
"Robert Chalmers, 1st Baron Chalmers"
Jerome Alexander
Al-Maziri
Leonardo Di Capua
Fernand de Saintignon
"Fortunato de Felice, 2nd Count Panzutti"
Ven Te Chow
Cyrille Duquet
Otto Steiger
David Marshall Lang
Dan Alderson
Esprit Pezenas
D. M. Turner
Emmanuel-Louis Gruner
Gustav Lorentzen
Didier-François d'Arclais de Montamy
Eric Tigerstedt
Muhammad Kurd Ali
Peter Wright
Peter Wright
Henry Gascoyne Maurice
Jean Alt
Jean-André Mongez
Jean-François Boyvin de Bonnetot
Joaquín Velázquez de León
Henri Longchambon
Chakh Akhriev
John Mudge
Jean-Paul Grandjean de Fouchy
Jacques Tréfouël
Francisco Santos
"Frank Kearton, Baron Kearton"
Felipe de Zúñiga y Ontiveros
Frederick Whymper
Fritz Köberle
G. Malcolm Trout
Froilano de Mello
George Henry Bachhoffner
George Cadogan Morgan
George Ent
George F. Stewart
Fernando E. Rodríguez Vargas
Francis X. Schumacher
Frank Callaghan
Gabriel J. Rains
Gabriel J. Rains
George Harker
George McMurtry
Fred C. Blanck
Frederick Henry McDowall
Garnet Baltimore
Gastão Rosenfeld
George Douglas Hutton Bell
George Fisher
Francisco Bulnes
Frederic Wood Jones
Geminiano de Ocampo
Evan Pugh
Francis William Bourdillon
Francisco Antonio Camassa
Fred W. Tanner
George Edward Pendray
Michele Savonarola
Philippe d'Auvergne
Pierre Rousseau
Michel Coignet
Nikola Nalješković
Peter Faber
Norbert Rillieux
Pedro Luiz Napoleão Chernoviz
Sergei Bakhrushin
Moritz Hoffmann
Joaquín Acosta
Kavalam Madhava Panikkar
Alexei Petrovich Pavlov
William Allen
William Allen
William Cuffay
Émile Girardeau
Sergey Sergeyevich Smirnov
Yuri Osmanov
George Alexander Gibson
Volf Bronner
Boris Lavrentyev
Maurício Rocha e Silva
Johannes Hint
Luís Antônio de Carvalho Ferraz
Antônio Guedes Muniz
Harald Bjørlykke
Harold S. Osborne
Harry Grindell Matthews
Hagop Barsoumian
Harold Crosby
Heinrich August Rothe
George Stapledon
Gheorghe Munteanu-Murgoci
Hajime Hosokawa
Gordie C. Hanna
Gregorio Y. Zara
Henry Doubleday
Harold Cummins
George Zames
Khalifa Sultan
Muqim Arzani
Aḥmad Ibn-Muḥammad al- Maidānī
Laurence Lockhart
Giovanni Battista Brocchi
Ernest H. Wiegand
Edward Ryan
Louis Lambillotte
Edward Haskell
Al-Juwayni
Elias Alsabti
